FIA_Code,CommonName,ScientificName,USDASP
7282,paipai,Guamia mariannae,GUMA4
7307,puapua,Guettarda speciosa,GUSP3
7311,rhoifolia,Guioa rhoifolia,GURH
7312,Guioa,Guioa spp.,GUIOA
7313,"bochela uchererak, uch",Gulubia palauensis,GUPA
7319,vilivili,Gyrocarpus americanus,GYAM2
7321,bloodwoodtree,Haematoxylum campechianum,HACA2
7332,Haplolobus floribundus,Haplolobus floribundus,HAFL
7334,fa`aili,Harpullia arborea,HAAR4
7338,denticulata,Hedycarya denticulata,HEDE14
7340,Hedycarya,Hedycarya spp.,HEDYC2
7343,Fosbergs starviolet,Hedyotis fosbergii,HEFO5
7344,manono,Hedyotis hillebrandii,HEHI8
7345,starviolet,Hedyotis spp.,HEDYO2
7346,variable starviolet,Hedyotis terminalis,HETE21
7349,white moho,Heliocarpus popayanensis,HEPO4
7350,heliocarpus,Heliocarpus spp.,HELIO
7359,ufa,Heritiera littoralis,HELI9
7360,ufa halemtano,Heritiera longipetiolata,HELO12
7362,Heritiera,Heritiera spp.,HERIT2
7363,pipi,Hernandia moerenhoutiana,HEMO13
7364,"pua, Chinese lantern tree",Hernandia nymphaeifolia,HENY
7365,Hernandia ovigera,Hernandia ovigera,HEOV4
7366,mago,Hernandia sonora,HESO
7367,Hernandia,Hernandia spp.,HERNA
7368,Hernandia labyrinthica,Hernandia labyrinthica,HELA27
7370,Lanai island-aster,Hesperomannia arborescens,HEAR9
7371,Maui island-aster,Hesperomannia arbuscula,HEAR10
7372,Kauai island-aster,Hesperomannia lydgatei,HELY
7373,island-aster,Hesperomannia spp.,HESPE8
7374,toyon,Heteromeles arbutifolia,HEAR5
7376,toyon,Heteromeles spp.,HETER5
7377,palma brava,Heterospathe elata,HEEL9
7381,para rubber tree,Hevea brasiliensis,HEBR8
7384,hau kuahiwi,Hibiscadelphus bombycinus,HIBO2
7385,lava hau kuahiwi,Hibiscadelphus crucibracteatus,HICR
7386,Kauai hau kuahiwi,Hibiscadelphus distans,HIDI
7387,Kilauea hau kuahiwi,Hibiscadelphus giffardianus,HIGI
7388,Hualalai hau kuahiwi,Hibiscadelphus hualalaiensis,HIHU
7389,hau kuahiwi,Hibiscadelphus puakuahiwi,HIPU2
7390,hibiscadelphus,Hibiscadelphus spp.,HIBIS
7391,Maui hau kuahiwi,Hibiscadelphus wilderianus,HIWI
7392,Woods hau kuahiwi,Hibiscadelphus woodii,HIWO
7393,white rosemallow,Hibiscus arnottianus,HIAR
7397,Brackenridges rosemallow,Hibiscus brackenridgei,HIBR
7401,lemonyellow rosemallow,Hibiscus calyphyllus,HICA6
7402,red Kauai rosemallow,Hibiscus clayi,HICL
7403,mahoe,Hibiscus elatus,HIEL
7404,red rosemallow,Hibiscus kokio,HIKO
7407,largeleaf rosemallow,Hibiscus macrophyllus,HIMA5
7408,Dixie rosemallow,Hibiscus mutabilis,HIMU3
7411,rosemallow,Hibiscus spp.,HIBIS2
7412,sea hibiscus,Hibiscus tiliaceus,HITI
7413,white Kauai rosemallow,Hibiscus waimeae,HIWA
7424,Homalium whitmeeanum,Homalium whitmeeanum,HOWH
7427,"chemeklachel, eumail",Horsfieldia amklaal,HOAM2
7428,ersachel,Horsfieldia novoguineensis,HONO2
7429,Horsfieldia nunu,Horsfieldia nunu,HONU2
7430,chersachel,Horsfieldia palauensis,HOPA10
7431,Horsfieldia,Horsfieldia spp.,HORSF2
7440,nightblooming cactus,Hylocereus spp.,HYLOC
7441,nightblooming cactus,Hylocereus undatus,HYUN3
7442,stinkingtoe,Hymenaea courbaril,HYCO
7448,Canary Island St. Johnswort,Hypericum canariense,HYCA11
7453,Hawaii holly,Ilex anomala,ILAN
7454,English holly,Ilex aquifolium,ILAQ80
7460,mate,Ilex paraguariensis,ILPA3
7464,holly,Ilex spp.,ILEX
7472,ice cream bean,Inga edulis,INED
7475,ifi,Inocarpus fagifer,INFA3
7477,ifilele,Intsia bijuga,INBI
7482,black poui,Jacaranda mimosifolia,JAMI
7483,jacaranda,Jacaranda spp.,JACAR
7491,Barbados nut,Jatropha curcas,JACU2
7494,nettlespurge,Jatropha spp.,JATRO
7497,ketoguit,Kayea pacifica,KAPA4
7506,guest tree,Kleinhovia hospita,KLHO
7509,Molokai treecotton,Kokia cookei,KOCO2
7510,Hawaii treecotton,Kokia drynarioides,KODR
7511,Kauai treecotton,Kokia kauaiensis,KOKA
7512,Wailupe Valley treecotton,Kokia lanceolata,KOLA2
7513,treecotton,Kokia spp.,KOKIA
7516,burgan,Kunzea ericoides,KUER
7517,Kunzea,Kunzea spp.,KUNZE
7518,summit labordia,Labordia fagraeoidea,LAFA2
7519,bog labordia,Labordia hedyosmifolia,LAHE2
7520,mountain labordia,Labordia hirtella,LAHI5
7521,Waianae Range labordia,Labordia kaalae,LAKA
7522,Wahiawa Mountain labordia,Labordia lydgatei,LALY2
7523,labordia,Labordia spp.,LABOR
7524,paleflower labordia,Labordia tinifolia,LATI2
7528,Lanai labordia,Labordia triflora,LATR4
7529,Nevada peavine,Labordia waiolani,LAWA3
7533,pride of India,Lagerstroemia speciosa,LASP
7539,Langsat,Lansium domesticum,LADO2
7543,bluelatan,Latania loddigesii,LALO
7558,large-leaf yellow teatree,Leptospermum morrisonii,LEMO20
7559,common teatree,Leptospermum petersonii,LEPE23
7560,common teatree,Leptospermum polygalifolim,LEPO22
7561,broom teatree,Leptospermum scoparium,LESC2
7562,teatree,Leptospermum spp.,LEPTO4
7564,Leucaena insularum,Leucaena insularum,LEIN31
7565,white leadtree,Leucaena leucocephala,LELE10
7566,leadtree,Leucaena spp.,LEUCA
7575,Chinese privet,Ligustrum sinense,LISI
7576,privet,Ligustrum spp.,LIGUS2
7583,Lychee,Litchi chinensis,LICH4
7586,papaono,Litsea samoensis,LISA8
7587,Litsea,Litsea spp.,LITSE
7588,fountain palm,Livistona chinensis,LICH3
7595,vinegartree,Lophostemon confertus,LOCO9
7598,Egg Fruit / Canistel,Lucuma nervosa,LUNE4
7602,"bakauaine, nana",Lumnitzera littorea,LULI8
7614,"macadamia nut tree, pengua",Macadamia integrifolia,MAIN8
7616,Macadamia,Macadamia spp.,MACAD
7617,Macadamia Nut,Macadamia tetraphylla,MATE16
7618,bedel,Macaranga carolinensis,MACA25
7619,Macaranga grayana,Macaranga grayana,MAGR
7620,lau pata,Macaranga harveyana,MAHA9
7621,pengua,Macaranga mappa,MAMA28
7623,macaranga,Macaranga spp.,MACAR
7625,lau fatu,Macaranga stipulosa,MAST7
7626,parasol leaf tree,Macaranga tanarius,MATA3
7627,Macaranga thompsonii,Macaranga thompsonii,MATH3
7638,Mallotus palauensis,Mallotus palauensis,MAPA6
7639,kamala tree,Mallotus philippensis,MAPH4
7641,mallotus,Mallotus spp.,MALLO
7642,Mallotus tiliifolius,Mallotus tiliifolius,MATI4
7653,manapau,Mammea glauca,MAGL12
7654,chopak,Mammea odorata,MAOD2
7655,Mammea,Mammea spp.,MAMME
7657,kanit,Mangifera minor,MAMI3
7658,saipan mango,Mangifera odorata,MAOD
7659,mango,Mangifera spp.,MANGI
7660,ceara rubbertree,Manihot glaziovii,MAGL5
7661,manihot,Manihot spp.,MANIH
7664,pani,Manilkara dissecta,MADI14
7666,kohle,Manilkara hoshinoi,MAHO5
7671,Manilkara,Manilkara spp.,MANIL
7672,udeuid,Manilkara udoido,MAUD
7674,sapodilla,Manilkara zapota,MAZA
7679,"bkau, apgau",Maranthes corymbosa,MACO
7680,dermarm,Marattia fraxinea,MAFR11
7700,luluhut,Maytenus thompsonii,MATH4
7704,Medusanthera carolinensis,Medusanthera carolinensis,MECA21
7705,matamo,Medusanthera samoensis,MESA11
7706,Medusanthera,Medusanthera spp.,MEDUS2
7709,melaleuca,Melaleuca spp.,MELAL
7710,alom,Melanolepis multiglandulosa,MEMU10
7712,Melastoma candidum,Melastoma candidum,MECA9
7713,Melastoma sanguineum,Melastoma sanguineum,MESA3
7716,melia,Melia spp.,MELIA
7719,mokihana,Melicope anisata,MEAN3
7720,Ballous melicope,Melicope balloui,MEBA2
7721,uahiapele,Melicope barbigera,MEBA3
7722,Waianae Range melicope,Melicope christophersenii,MECH2
7723,manena,Melicope cinerea,MECI6
7724,kukaemoa,Melicope clusiifolia,MECL
7725,piloula,Melicope cruciata,MECR5
7726,leiohiiaka,Melicope elliptica,MEEL2
7727,Haleakala melicope,Melicope haleakalae,MEHA7
7728,Haupa Mountain melicope,Melicope haupuensis,MEHA3
7729,mokihana kukae moa,Melicope hawaiensis,MEHA4
7730,Monoa melicope,Melicope hiiakae,MEHI6
7731,Honolulu melicope,Melicope hosakae,MEHO2
7732,Kaala melicope,Melicope kaalaensis,MEKA2
